City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Caranavi,BO,2021-11-28 22:06:39,-15.8167,-67.55,67.93,96,100,2.15
268,Kosh-Agach,RU,2021-11-28 22:06:40,50.0,88.6667,4.89,91,17,3.47
269,Lai,TD,2021-11-28 22:06:40,9.3952,16.2989,77.72,19,70,3.18
270,Codrington,AU,2021-11-28 22:06:40,-38.2667,141.9667,62.04,60,0,6.98
271,Lubango,AO,2021-11-28 22:06:41,-14.9172,13.4925,63.57,52,99,1.79
272,Urkut,HU,2021-11-28 22:06:41,47.085,17.6439,33.96,87,100,10.92
273,Pocking,DE,2021-11-28 22:06:42,48.4,13.3167,29.88,96,99,2.19
274,Dali,CN,2021-11-28 22:07:42,25.7,100.1833,42.71,81,1,1.99
275,Malakal,SS,2021-11-28 22:07:42,9.5334,31.6605,83.62,36,7,1.7
276,Bilma,NE,2021-11-28 22:07:43,18.6853,12.9164,75.38,16,100,7.09
277,Kalininsk,RU,2021-11-28 22:07:43,51.5,44.4758,38.37,97,100,6.58
278,Anse-Bertrand,GP,2021-11-28 22:07:43,16.4721,-61.5078,80.42,77,74,12.55
279,Karasburg,NA,2021-11-28 22:07:44,-28.0167,18.75,66.24,38,1,8.03
280,Coquimbo,CL,2021-11-28 22:07:44,-29.9533,-71.3436,64.13,72,0,16.11
281,Manggar,ID,2021-11-28 22:07:44,-2.8833,108.2667,79.2,84,100,10.92
282,Palmares Do Sul,BR,2021-11-28 22:07:45,-30.2578,-50.5097,72.32,85,100,10.0
283,Boma,GH,2021-11-28 22:07:45,7.0805,-2.1697,78.08,70,63,3.29
284,Dickinson,US,2021-11-28 22:07:45,29.4608,-95.0513,60.89,83,90,10.36
285,Saldanha,ZA,2021-11-28 22:07:46,-33.0117,17.9442,62.78,85,42,5.99
286,Luderitz,NA,2021-11-28 22:07:46,-26.6481,15.1594,60.94,84,15,8.81
287,Katsuura,JP,2021-11-28 22:07:47,35.1333,140.3,42.91,55,11,2.06
288,Arroio Grande,BR,2021-11-28 22:07:47,-32.2375,-53.0869,67.17,95,100,7.09
289,Hamilton,US,2021-11-28 22:07:47,39.1834,-84.5333,44.04,33,1,11.5
290,Henties Bay,NA,2021-11-28 22:07:48,-22.116,14.2845,59.77,92,0,8.01
291,Esperance,AU,2021-11-28 22:07:48,-33.8667,121.9,64.24,86,96,17.18
292,Samfya,ZM,2021-11-28 22:07:48,-11.3649,29.5565,70.43,69,34,4.47
293,Kamenskiy,RU,2021-11-28 22:07:49,50.8855,45.488,38.68,99,100,6.71
