City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
249,Prince Rupert,54.3161,-130.3201,28.02,82,15,5.95,CA,2021-12-05 02:02:26,few clouds
250,Longyearbyen,78.2186,15.6401,19.24,73,75,19.57,SJ,2021-12-05 02:03:31,broken clouds
251,Mapiripan,2.8892,-72.1256,75.11,84,100,4.9,CO,2021-12-05 02:03:32,overcast clouds
252,Souillac,-20.5167,57.5167,75.36,75,16,10.69,MU,2021-12-05 02:01:04,few clouds
253,Balkanabat,39.5108,54.3671,45.0,59,0,7.9,TM,2021-12-05 02:03:32,clear sky
254,Dudinka,69.4058,86.1778,-30.39,99,85,7.05,RU,2021-12-05 02:03:33,overcast clouds
255,Birao,10.2849,22.7882,71.73,35,16,5.14,CF,2021-12-05 02:03:33,few clouds
256,Baykit,61.67,96.37,-6.93,96,99,2.3,RU,2021-12-05 02:03:34,overcast clouds
257,Jilib,0.4883,42.7854,74.03,89,26,3.51,SO,2021-12-05 02:03:34,scattered clouds
258,Jiangkou,25.4872,119.1986,62.67,60,58,13.2,CN,2021-12-05 02:03:35,broken clouds
259,Lipin Bor,60.2622,37.9763,-3.59,98,11,5.48,RU,2021-12-05 02:03:35,few clouds
